UniqueID,PersonID,Group,PractLevel,Sequence,ItemNum,NormVariant,Defect_Type,Diagnosis,UserTOC,Certainty,ItemNAbN,Accurate
1,MS001,MS,Medical Student,1,A0062,FALSE,None,Normal,38.856,Probably,Normal,1
2,MS001,MS,Medical Student,2,A0195,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,22.713,Probably,Abnormal,0
3,MS001,MS,Medical Student,3,A0173,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,52.075,Probably,Abnormal,0
4,MS001,MS,Medical Student,4,A0188,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,28.781,Definitely,Abnormal,0
5,MS001,MS,Medical Student,5,A0108,FALSE,None,Normal,42.361,Probably,Normal,1
6,MS001,MS,Medical Student,6,A0032,FALSE,None,Normal,20.8,Probably,Normal,1
7,MS001,MS,Medical Student,7,A0036,FALSE,None,Normal,21.271,Probably,Normal,0
8,MS001,MS,Medical Student,8,A0010,TRUE,Extra Ossification Centres,Normal variant with extra ossification centres of distal tibia,35.171,Probably,Normal,0
9,MS001,MS,Medical Student,9,A0074,FALSE,None,Normal,27.22,Definitely,Normal,1
10,MS001,MS,Medical Student,10,A0131,FALSE,None,Normal,24.675,Probably,Normal,1
11,MS001,MS,Medical Student,11,A0204,TRUE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture and normal variant with extra distal tibial ossificaiton centre.,133.552,Probably,Abnormal,0
12,MS001,MS,Medical Student,12,A0058,FALSE,None,Normal,20.47,Probably,Normal,1
13,MS001,MS,Medical Student,13,A0217,FALSE,Avulsion fracture of talus or calcaneus,Avulsion fracture of either the talus or calcaneus,88.647,Probably,Abnormal,0
14,MS001,MS,Medical Student,14,A0026,FALSE,None,Normal,17.675,Definitely,Normal,1
15,MS001,MS,Medical Student,15,A0054,FALSE,None,Normal,18.356,Definitely,Normal,1
16,MS001,MS,Medical Student,16,A0103,FALSE,None,Normal,16.164,Definitely,Normal,1
17,MS001,MS,Medical Student,17,A0234,FALSE,Spiral SH II of distal tibia,A spiral fracture of the tibia with possible extension into the physis,16.644,Probably,Abnormal,0
18,MS001,MS,Medical Student,18,A0095,FALSE,None,Normal,22.803,Probably,Normal,1
19,MS001,MS,Medical Student,19,A0220,FALSE,SH II of distal fibula,Salter-Harris II fracture of the distal fibula,17.455,Definitely,Abnormal,0
20,MS001,MS,Medical Student,20,A0091,TRUE,Extraossification centre,Normal variant with secondary ossification centre at the base of the fifth metatarsal,28.381,Definitely,Normal,1
21,MS001,MS,Medical Student,21,A0080,FALSE,None,Normal,39.977,Definitely,Normal,1
22,MS001,MS,Medical Student,22,A0145,FALSE,None,Normal,27.94,Definitely,Normal,1
23,MS001,MS,Medical Student,23,A0136,FALSE,Evidence of healing from an old fracture,Normal with evidence of healing from an old fracture,29.502,Probably,Normal,1
24,MS001,MS,Medical Student,24,A0251,FALSE,SH IV of distal tibia,Salter-Harris IV fracture of the distal tibia and an accessory ossicle adjacent to the lateral malleolus,14.451,Definitely,Abnormal,0
25,MS001,MS,Medical Student,25,A0025,TRUE,Accessory Ossicle,Normal variant with an accessory ossicle about the medial aspect of the distal tibial epiphysis,13.449,Definitely,Normal,1
26,MS001,MS,Medical Student,26,A0051,FALSE,None,Normal,20.509,Definitely,Normal,1
27,MS001,MS,Medical Student,27,A0067,FALSE,None,Normal,13.199,Definitely,Normal,1
28,MS001,MS,Medical Student,28,A0210,FALSE,None,Normal,13.41,Definitely,Normal,1
29,MS001,MS,Medical Student,29,A0152,FALSE,Distal fibular epiphyseal avulsion fx,An os trigonum is present and there is an avulsion fracture in the medial aspect of the fibular epiphysis,19.628,Probably,Abnormal,0
30,MS001,MS,Medical Student,30,A0157,FALSE,Distal fibular epiphyseal avulsion fx,Avulsion fracture of the distal fibular epiphysis,63.791,Probably,Abnormal,0
31,MS001,MS,Medical Student,31,A0206,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,38.435,Definitely,Abnormal,0
32,MS001,MS,Medical Student,32,A0182,FALSE,None,Normal,21.07,Probably,Normal,1
33,MS001,MS,Medical Student,33,A0096,FALSE,None,Normal,15.211,Definitely,Normal,1
34,MS001,MS,Medical Student,34,A0219,FALSE,SH II of distal fibula,Salter-Harris II fracture of the distal fibula is suggested,33.428,Definitely,Abnormal,0
35,MS001,MS,Medical Student,35,A0240,FALSE,SH II of distal tibia and comminuted transverse fracture of distal fibula,Salter-Harris II fracture of the tibia Comminuted transverse fracture of the distal fibula,14.751,Definitely,Abnormal,1
36,MS001,MS,Medical Student,36,A0212,FALSE,None,Normal,25.647,Probably,Normal,1
37,MS001,MS,Medical Student,37,A0196,FALSE,SH I of distal fibula,Suggestive of a Salter-Harris I fracture of distal fibula,27.61,Probably,Abnormal,1
